date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war
2024-10-12,,,,,,,,,,,,,,the longperiod comet c a tsuchinshanatlas described as the comet of the century makes its closest approach to earth the longperiod comet c a tsuchinshanatlas makes its closest approach to earth,,,,
2024-10-13,,,,belgian local elections in lithuania lithuanian parliamentary election took place vorarlberg state election in lithuania the lithuanian parliamentary election is held,,,,,,,,,,,chicago marathon marathon international winner men john korir women ruth chepngetich,spacex achieves the first successful return and capture of a super heavy booster from starship the biggest and most powerful rocket ever to fly spacex achieves the first successful return and capture of a super heavy booster from starship the biggest and most powerful rocket ever to fly spacex achieves the first successful return and capture of a super heavy booster from starship the biggest and most powerful rocket ever to fly,,
2024-10-14,,,,,,,,,,,,,,,,the europa clipper spacecraft is launched to investigate europa an icy moon of jupiter nasa launches the europa clipper from kennedy space center which will study the jovian moon europa while orbiting jupiter,,
2024-10-15,,,,,,,,,,,,,,physicists and researchers from the institute of nuclear physics of the polish academy of sciences achieve the first coherent picture of atomic nuclei made from only quarks and gluons fusing this picture with the model of nuclei made from protons and neutrons,,,,
2024-10-16,,,,,,,,,,,,,,researchers at the university of birmingham medical school encounter a human cadaver with three penises,fifa u womens world cup association football international winner north korea,,,yahya sinwar leader of hamas is killed in a gunfight with israeli forces in rafah yahya sinwar leader of hamas is killed in a gunfight with israeli forces in rafah
2024-10-18,,,,,,keywords studios acquired certain affinity,,,,,,,,,south american artistic gymnastics championships artistic gymnastics continental winner brazil,,,
2024-10-19,,,,australian capital territory election,,,,,,,,british columbia general election,,researchers develop a plantbased food supplement to protect bees brains from neurotoxins,,,,
2024-10-20,,five new civil lawsuits are filed against sean diddy combs in a federal court in new york accusing the rapper of sexual assault and rape,,in moldova the moldovan presidential election is held in moldova moldovan presidential election took place,,,,,,,,moldovan european union membership referendum,,,united states grand prix f formula racing international winner charles leclerc scuderia ferrari iba youth world boxing championships boxing international winner kazakhstan,,,
2024-10-21,,,,the national assembly of vietnam elects lng cng as the new president of vietnam he replaced t lm who was formally appointed as the general secretary of the communist party october vietnamese presidential election the national assembly of vietnam elects lng cng as the new president of vietnam he replaced t lm who was formally appointed as the general secretary of the communist party,,,,,,india announces an agreement with china regarding military patrols along the line of actual control between their countries,,new brunswick general election the central park five file a lawsuit against donald trump in the united states district court for the eastern district of pennsylvania over claims that he made in the second presidential debate on september,,,fiba u south american championship basketball continental winner venezuela,,,
2024-10-22,,,,,,,,mcdonalds e coli outbreak the cdc reports people have fallen ill and one person has died after consuming mcdonalds quarter pounders tainted with e coli fifteen more people had fallen ill by october,,,,the government agrees to extend its provisional agreement with the holy see regarding the appointment of catholic bishops in china until,,,cosafa womens championship association football regional winner zambia,,,
2024-10-23,,,,,,,,,,,,,the transportation department fines american airlines million for violations of disability laws,,fia motorsport games motorsport international winner spain,,,
2024-10-24,,,,,,,,,,,the first case of the kwango province disease outbreak is reported in the democratic republic of the congo the first case of the kwango province disease outbreak is reported in the democratic republic of the congo,íñigo errejón the spokesperson of sumar in the congress of deputies announces his retirement from politics following complaints of sexual violence filed by actress elisa mouliaá,,,,bluesky announces series a to grow network of m users bluesky now exceeds million users the at protocol developer ecosystem continues to grow and weve shipped highly requested features like direct messages and video,,
2024-10-25,,,,kiribati presidential election,,,,,,,,,,,world series baseball domestic winner los angeles dodgers,,,
2024-10-26,,,,in georgia the georgian parliamentary election is held in georgia georgian parliamentary election took place queensland state election georgian parliamentary election amid suspicions of interference ruling prorussian party georgian dream wins a majority,,,,,,,,georgian parliamentary election,,,,,,
2024-10-27,,,,uzbek parliamentary election japanese general election in bulgaria the october bulgarian parliamentary election is held in bulgaria the october bulgarian parliamentary election took place,,,,,,,,presidential candidate donald trump hosts a campaign rally at madison square garden in new york city the event is widely criticized for its use of racist and misogynistic language,,,mexico city grand prix f formula racing international winner carlos sainz jr scuderia ferrari,,,
2024-10-28,,actor jay johnston is sentenced to one year and one day in prison for his actions during the january united states capitol attack five people are injured in a knife attack in haidian beijing the suspect is arrested,,saskatchewan general election ligurian regional election october,,,,,,,,,,a study of the uranian moon miranda finds that it may contain a deep ocean of water below its surface,paris masters tennis international winner alexander zverev,,,
2024-10-30,,,,botswana general election the ruling bdp party is voted out of power ending years of uninterrupted governance duma boko of the udc party is elected president of botswana botswana general election,,at least people are reported killed following flash floods in the valencian community andalusia and castillala mancha,,,,,,,,researchers demonstrate using trained rats as costeffective detection tools for illegal wildlife trade,major league baseball season the los angeles dodgers win their eighth world series title defeating the new york yankees four games to one,nintendo music a music streaming service featuring nintendo soundtracks was released,,
2024-11-01,,south carolina executes convicted murderer richard bernard moore despite pleas from the judge jury pastors prison staff and his relatives to spare his life,,,,,,,,,,,,,,,,
2024-11-02,,,,,,,casual dining restaurant chain tgi fridays files for chapter bankruptcy,,,,,,,,wta finals tennis international winner coco gauff,,,
2024-11-03,,a delegation consisting of king felipe vi queen letizia and prime minister sanchez is violently confronted during a meeting with victims of floods in paiporta injuring two bodyguards,,moldovan presidential election incumbent maia sandu is reelected for a second term,taylor swift concludes the eras tour in the united states at lucas oil stadium in indianapolis the highestgrossing concert tour of all time,,,,,,,,,,new york city marathon marathon international winner men abdi nageeyewomen sheila chepkirui so paulo grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,
2024-11-05,,,,united states elections puerto rican general elections the american samoan general election was held united states elections were held palauan general election the palauan general election was held and incumbent president surangel whipps jr was reelected,,,,,,,,,,,,,,
2024-11-06,,authorities announce the countrys largest antidrug operation which was launched in october and results in the seizure of tonnes of cocaine hidden on board a cargo ship carrying bananas that arrived in algeciras from ecuador in october the operation also leads to the arrest of óscar sánchez gil the former head of the economic crimes unit of the national police corps and the discovery of million from his residence and office,,,,,,,,,,biden announces the expedited granting of over us billion in military aid to ukraine,,,fiba u womens south american championship basketball continental winner venezuela,taketwo interactive sold private division to an unspecified investor roll was shut down,,
2024-11-07,,leon wang the president of astrazeneca in china is arrested following allegations of collection of patient data and the importation of medicines not approved by chinese authorities,,,,,,,,,,,,,baseball united arab classic baseball regional winner pakistan,,,
2024-11-08,,,,,,the government passes a law on energy aimed to promote carbon neutrality,telefónica sa agrees to pay million as part of a settlement over a us investigation involving a subsidiary of the firm offering bribes to venezuelan officials in,,,,,,,,,,,
2024-11-09,,a suicide bombing at the quetta railway station in balochistan pakistan kills at least people the bombing was orchestrated by the balochistan liberation army bla and is the first time that the organization had attacked the center of quetta a suicide bombing at the quetta railway station in balochistan pakistan kills at least people the bombing was orchestrated by the balochistan liberation army bla and is the first time that the organization had attacked the center of quetta,,,,,,,,,,,,,wbsc premier baseball international winner chinese taipei,,,
2024-11-10,,,,the mauritian general election was held mauritian general election the electoral alliance lepep of incumbent prime minister pravind jugnauth is defeated by that of opposition leader and former prime minister navin ramgoolam with the latter taking all but two seats mauritian general election the electoral alliance lepep of incumbent prime minister pravind jugnauth is defeated by that of opposition leader and former prime minister navin ramgoolam with the latter taking all but two seats mauritian general election,,,,,,the foreign ministry issues baselines around scarborough shoal that is also claimed by the philippines,,,,,atp finals tennis international winner jannik sinner,,,
2024-11-11,,,,,,,,,,,,maryland governor wes moore posthumously commemorates abolitionist harriet tubman as a onestar general in the maryland national guard celebrating her for veterans day,,,at least people are killed and others are injured after a man rams an suv into a crowd exercising at a sports stadium in zhuhai fiba u oceania cup fiba u womens oceania cup basketball continental winner men australiawomen australia,,,
2024-11-12,,,,,,,,,,,,,justin welby announces his resignation as archbishop of canterbury following the publication of a report critical of his handling of the abuse of children within the church of england by john smyth,,nba cup basketball domestic winner milwaukee bucks,,,
2024-11-13,,,,somaliland presidential election opposition candidate abdirahman mohamed abdullahi of the waddani party is elected president the somaliland presidential election was held somaliland presidential election opposition candidate abdirahman mohamed abdullahi of the waddani party is elected president,,,,,,,,trump picks matt gaetz as his attorney general however gaetz withdrew on november due to ongoing congressional investigations against him,,,,,,
2024-11-14,,,,sri lankan parliamentary election sri lankan parliamentary election president anura kumara dissanayakes national peoples power coalition wins a supermajority in the th parliament of sri lanka sri lankan parliamentary election president anura kumara dissanayakes national peoples power coalition wins a supermajority in the th parliament of sri lanka,,,,,,,,the sri lankan parliamentary election was held the victory party of the presidential election the npp winning seats,,,billie jean king cup finals tennis international winner italy,,,
2024-11-15,,,,,,the spotted hyena crocuta crocuta is rediscovered in the elba protected area of southeast egypt years after the species was believed to have been extirpated from the region,,ten people are killed in a fire at a nursing home in villafranca de ebro measles cases are reported to have surged across the world with an estimated million infections in a increase from,,,,,,,,,,
2024-11-16,,eight people are killed and others are injured in a a mass stabbing carried out by a former student at the a vocational school in wuxi,,ondo state gubernatorial election,,,,,,,,gabonese constitutional referendum,,,,,,
2024-11-17,,,,senegalese parliamentary election senegalese parliamentary election president bassirou diomaye fayes party pastef wins an absolute majority at the national assembly the senegalese parliamentary election was held senegalese parliamentary election president bassirou diomaye fayes party pastef wins an absolute majority at the national assembly hyogo gubernatorial election,,,,,,,,,,,,,,biden lifts restrictions on the ukrainian use of us weapons for deep attacks inside of russia with ukraine planning out longdistance attacks in the coming days the first of these instances is two days later on november where ukraine launches atacms longranged missiles into russia
2024-11-18,,,,emiliaromagna regional election november umbrian regional election november,,,,,,,,,,coal ash from power plants across the united states is likely to contain up to million tons of rareearth elements nearly eight times the amount the us has in domestic reserves according to a study by the university of texas at austin,,,,
2024-11-19,,an unspecified number of casualties are reported after a car rams into a crowd outside a school in dingcheng district hunan,,,,,,,,,,,,,davis cup finals tennis international winner italy,,,
2024-11-20,,,,jharkhand legislative assembly election november maharashtra legislative assembly election,,,,,,,,,,,,,,
2024-11-21,,,,,,,,,,,,,,the first closeup image of a star outside the milky way is reported using the european southern observatorys very large telescope interferometer the star woh g is located in the large magellanic cloud about light years away and is shown to be surrounded by a torusshaped cloud,,,,
2024-11-22,,,,,,,the government imposes a total of million euros million in fines on airlines ryanair easyjet volotea vueling and norwegian air for abusive practices such as overcharging misleading information and lack of price transparency,,,,,trump picks hedge fund investor and former yale professor scott bessent as his secretary of the treasury congresswoman lori chavezderemer as his secretary of labor and former texas state representative and retired nfl player scott turner as his secretary of housing and urban development,,,,,,
2024-11-23,,,,,,,,,,,,trump picks america first policy institute ceo brooke rollins as his secretary of agriculture,,,copa sudamericana final association football continental winner racing las vegas grand prix f formula racing international winner george russell mercedes,,,
2024-11-24,,,,styrian state election in romania romanian presidential election will take place first round farright independent clin georgescu wins a plurality of votes for the presidency and advances to the runoff along with centreright candidate elena lasconi uruguayan general election leftist opposition candidate yamandú orsi is elected president first round of the romanian presidential election was held,,,,,,,,,,,,,,
2024-11-25,,,,jack smith dismisses his election interference case against trump the jubaland presidential election was held,,,,,,,,,,,,,,
2024-11-26,,,,nova scotia general election,,,,,,,,israeli prime minister benjamin netanyahu announces that a ceasefire deal has been agreed to end fighting with hezbollah in lebanon israeli prime minister benjamin netanyahu announces that a ceasefire deal has been agreed to end fighting with hezbollah in lebanon,,,,,,
2024-11-27,,three people are killed and seven others are injured in a boiler explosion at a plastics factory in ibi,,the namibian general election was held namibian general election netumbo nandindaitwah of the swapo party is elected as the first female president of namibia indonesian local elections namibian general election tanzanian local government election namibian general election netumbo nandindaitwah of the swapo party is elected as the first female president of namibia,,,,,,three american nationals imprisoned in china are released and returned to the us as part of a prisoner exchange in return for the release of at least one chinese national detained in the us the united states helps to mediate the ceasefire agreement between israel and lebanon since the conflict escalated in october,,,,,,,,
2024-11-28,,miao hua an admiral and concurrent member of the central military commission is suspended from his latter position as part of an investigation into suspected corruption,,romanian presidential election the constitutional court of romania orders a recount of the votes cast in the first round following an appeal,,,,,,,,,,,,,,
2024-11-29,,dong yuyu a journalist working for guangming daily is sentenced to seven years imprisonment for espionage three people are wounded in a shooting on black friday at the park plaza mall in little rock arkansas,,irish general election centreright party fianna fáil remains the largest party in dáil éireann increasing its number of seats to,,,,,,,,irish general election,,,acc under asia cup cricket continental winner bangladesh,the engagement is better on bluesky bluesky is the lobby to the open web find and build your community here,,
2024-11-30,,,,in iceland icelandic parliamentary election will take place the icelandic parliamentary election was held,,,,,,,,icelandic parliamentary election,,,copa libertadores final association football continental winner botafogo,,,syrian civil war opposition forces seize control of most of aleppo syria prompting the first russian airstrikes on the city since
2024-12-01,,,,romanian parliamentary election the incumbent national coalition for romania wins a plurality of votes with farright parties making substantial gains in romania romanian parliamentary election will take place romanian parliamentary election,,,,,,,,president biden issues a pardon for his son hunter biden despite previously pledging against doing so,,,qatar grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,
2024-12-03,,,,,,,,,,,,south korean president yoon suk yeol declares martial law in a televised address in which he accused the democratic party of conducting antistate activities the national assembly votes unanimously to lift martial law despite efforts by the south korean army to prevent the vote yoon and his cabinet then lifted martial law after six hours and later issues an apology south korean president yoon suk yeol declares martial law during a latenight address broadcast live on ytn television accusing the countrys main opposition democratic party of sympathizing with north korea and engaging in antistate activities south korean president yoon suk yeol declares martial law during a latenight address broadcast live on ytn television accusing the countrys main opposition democratic party of sympathizing with north korea and engaging in antistate activities the martial law was lifted by the national assembly the following day,the ministry of commerce imposes a ban on the export of gallium germanium antimony and other materials with potential military applications to the united states in retaliation for export controls imposed by washington on semiconductorrelated items,,,altmetric is now tracking bluesky mentions now scientists and researchers can more easily track conversation around their research,,
2024-12-04,,brian thompson the ceo of insurance company unitedhealthcare is fatally shot outside the new york hilton midtown in what police call a targeted attack,,,,,,,,,,,,,,a section for the shenzhenzhanjiang highspeed railway that is under construction collapses in shenzhen leaving workers missing,,
2024-12-05,,,,,,,,,,,,,,a single mutation known as ql is found to enhance the ability of hn bird flu to infect human cells particularly in the respiratory tract previously at least three mutations were thought to be required for the virus to infect people and spread between them a magnitude earthquake occurs off the coast of california being felt hundreds of miles away tsunami and earthquake warnings are sent out across california oregon and washington,,,,
2024-12-06,,,,romanian presidential election the constitutional court of romania annuls the results of the first round of the presidential election after intelligence agencies alleged that clin georgescu benefited from a coordinated online campaign by russia to promote his candidacy aruban general election romanian presidential election the constitutional court of romania annuls the results of the first round amid accusations of russian interference after the unexpected advancement of prorussian candidate clin georgescu to the runoff,,,,,,,,,,,womens basketball league africa basketball continental winner ferroviário de maputo,a federal appeals court in a defeat to tiktok and parent company bytedance upholds the protecting americans from foreign adversary controlled applications act enabling the law which would ban the social media platform from the us on january if the platform was not sold off to an americanowned company to take effect,,
2024-12-07,,,,ghanaian general election ghanaian general election was held,,,,a study in the lancet finds that life expectancy progress in the united states is slowing only modest increases are likely by as the country falls below nearly all highincome and some middleincome countries in the global rankings,,,,,,,so paulo eprix fe formula racing international winner mitch evans jaguar tcs racing mls cup the la galaxy defeat the new york red bulls to win their sixth mls cup,,,
2024-12-08,,,,,,,,,,,,,,,in baseball the new york mets sign dominican professional baseball outfielder juan soto to a million year contract the largest contract in sports history european cross country championships athletics continental winner great britain abu dhabi grand prix f formula racing international winner lando norris mclarenmercedes,,,syrian civil war president of syria bashar alassad leaves damascus after being overthrown ending his presidency and the baathist syria regime after a total of years the syrian opposition forms the syrian transitional government as a provisional government syrian civil war syrian president bashar alassad flees from damascus to moscow after being overthrown ending his presidency and the baathist syria regime after a total of years the syrian opposition forms the syrian transitional government as a provisional government
2024-12-09,,,,,,,,,,,,,,astronomers report using the infrared capabilities of the james webb space telescope to find of the smallest asteroids ever detected in the main belt some measuring just metres in diameter,,,,
2024-12-10,aibased transfer learning predicts that global warming will reach c faster than previously expected,former evergrande group chair tang shuangning is convicted by a court in taiyuan of embezzlement and bribery and is sentenced to years imprisonment,,,,,,,,,,,federal bankruptcy judge christopher lopez rejects the sale of alex jones infowars to satirical news platform the onion in a dispute over the bidding process,,world aquatics swimming championships m swimming international winner united states,,,
2024-12-11,,,,,,,,,,,,,,,spain portugal and morocco win the joint hosting rights for the fifa world cup fifa announces that morocco portugal and spain will jointly host the world cup with anniversary matches to be held in argentina paraguay and uruguay while saudi arabia is confirmed as the host for,,,
2024-12-12,,,,,,,,,,,,,president biden commutes the sentences of roughly people who were released from prison and placed in home confinement during the coronavirus pandemic and pardons americans convicted of nonviolent crimes the largest singleday act of clemency in us history the clemency drew outrage for commuting the sentences of mark ciavarella and michael conahan for their role in the kids for cash scandal,,indian chess prodigy gukesh dommaraju defeats former world champion ding liren in the world chess championship breaking the previous age record of set by garry kasparov by becoming champion at years days old indian chess prodigy gukesh dommaraju defeats former world champion ding liren in the world chess championship breaking the previous age record of set by garry kasparov by becoming champion at years days old,,the game awards honoring the best video games of the year was held at the peacock theater in los angeles,
2024-12-13,,former china national football team coach li tie is convicted of matchfixing and bribery and is sentenced to years imprisonment,,,,,,,,,,,,,,a new lightinduced gene therapy using nanoparticles to target the mitochondria of cancer cells is demonstrated,,
2024-12-14,,,,,,cyclone chido makes landfall in mayotte causing at least deaths and bringing devastating damage to the island,,,,,,georgian presidential election,,,,,,
2024-12-15,,,,,,,,,,,,,,,acc under womens t asia cup cricket continental winner india,,,
2024-12-16,,,,,,,,,,,,,,,,the china aerospace science and technology corporation casc launches the first batch of the guowang xingwang megaconstellation a planned constellation of satellites using a long march rocket at the wenchang space launch site,,
2024-12-17,,,,,,the capital of vanuatu port vila suffers extensive damage after a mw earthquake at least people are killed,,,,,,,,zhúlóng torch dragon discovered by the james webb space telescope is reported as being the most distant known spiral galaxy ever found seen as it appeared just billion years after the big bang,uci urban cycling world championships cycling international winner spain,,,
2024-12-18,,,,,,,,,,,,,,,next generation atp finals tennis international winner joo fonseca fifa intercontinental cup final association football international winner real madrid,,,
2024-12-19,,,,,,,,,,,,,,,,sony and kadokawa corporation the parent company of fromsoftware spike chunsoft and acquire agreed to form a strategic business alliance with sony becoming the largest shareholder in kadokawa,,
2024-12-20,,a court in italys palermo acquits deputy prime minister matteo salvini of charges relating to the illegal detention of migrants that he refused to disembark from the humanitarian rescue vessel open arms that docked in lampedusa in six people are killed while another are injured after a car is driven into a crowd at a christmas market in magdeburg germany,,,,,,,,,,,,,,a study published in optica reports the first demonstration of quantum teleportation over fibers carrying conventional telecommunications traffic,,
2024-12-21,,,,,,thirtynine people die and another seven are injured after a multiplevehicle collision occurs on the br highway in teófilo otoni minas gerais brazil it is the deadliest traffic accident on federal highways in brazil since when numbers were first monitored,,,,,,,,,th arabian gulf cup association football regional winner bahrain,,,
2024-12-22,,,,,,,,,,,,,,researchers in south korea demonstrate a way to revert cancer cells back to normal healthy cells using simulations to identify master molecular switches involved in cell differentiation,,,,
2024-12-24,,the russian cargo ship ursa major sinks following an engine room explosion in the mediterranean sea between spain and algeria leaving two sailors missing fourteen others are taken to cartagena by spanish rescuers the ships owners subsequently blame the sinking on a terrorist attack,,,,,,,,,,,,,,the parker solar probe breaks the previous record set in for the closest artificial object to the sun by million kilometers million miles becoming the closest and first manmade object to approach and touch the sun,,
2024-12-25,,,,,,azerbaijan airlines flight an embraer erjar crashes in kazakhstan twentynine out of the on board survive the crash,,,,,,,,,,,,
2024-12-27,,,,,,,,,,,,impeachment of han ducksoo acting president of south korea han ducksoo is impeached by mps for failing to promulgate two bills related to president yoons legal proceedings he is succeeded by deputy prime minister choi sangmok acting president of south korea han ducksoo is impeached by mps for failing to promulgate two bills related to president yoons legal proceedings he is succeeded by deputy prime minister choi sangmok,,,united cup tennis international winner united states,,,
2024-12-28,,,,,,,,at least fifteen people including three firefighters are injured when a train collides with a fire truck in delray beach florida,,,,,,,,,,
2024-12-29,,,,,,jeju air flight a boeing passenger flight from bangkok suvarnabhumi airport in bangkok thailand to muan international airport in muan south korea veered off the runway at muan international airport and crashed into a barrier killing at least people two injured survivors were reported,,,,,,former president jimmy carter dies at age in his hometown of plains georgia chadian parliamentary election,,,,,,
2024-12-30,,the treasury reports a major incident in which chinese statesponsored hackers broke into its systems earlier in the month and had access to employee workstations and some unclassified documents,,,in review its been a big year for bluesky lets take a look back at everything thats happened in the past year,,,,,,,,,,,,,
2025-01-01,,,,,,,,,,,,,,,,detailed telemetry data from the parker solar probe is received following its passage through the suns corona,,
2025-01-03,,,,,,,,,,,,,,researchers report discovering a new class of antimalaria antibodies,,,,
2025-01-04,,eight people are killed in a fire at a market in zhangjiakou hebei,,,,,,,,,,the chancellor of austria karl nehammer announces his resignation,,,,,,
2025-01-07,,,,,,a magnitude earthquake hits tibet killing at least people,,,,,,,,,,,new gaming accessories and handheld consoles were revealed during the consumer electronics show ces showcase held at the las vegas convention center in winchester nevada,
2025-01-08,,eighteen gunmen and a soldier are killed in an attack on the presidential palace in ndjamena the capital of chad unknown assailants attack the presidential palace in the chadian capital of ndjamena resulting in deaths,,,,the california wildfires spread to more areas,,,,,,,,scientists publish a comprehensive map of protein locations within human cells offering potential new insights into how cells respond to infections and other changing circumstances,,,,
2025-01-09,,,,the commander of the lebanese armed forces joseph aoun is elected the th president of lebanon by parliament ending the power vacuum that lasted over two years,,,,,,,,,,,,the el capitan supercomputer is officially dedicated at the lawrence livermore national laboratory in livermore united states,,
2025-01-10,,,,,,,,,,,,,,the european copernicus climate change service reports that was the worlds hottest year on record and the first calendar year to pass the symbolic threshold of c of global warming,,,,
2025-01-11,,a gas station explosion in al bayda yemen results in deaths and dozens of others injured,,,,,,,,incoming united states middle east envoy steve witkoff meets with israeli prime minister benjamin netanyahu in an effort to secure a ceasefire deal in gaza strip before donald trumps inauguration on january,,,,,mexico city eprix fe formula racing international winner unknown,,,
2025-01-12,,,,croatian presidential election second round incumbent president zoran milanovi wins a second term in office with of the vote croatian president zoran milanovi wins reelection against dragan primorac in the second round of voting comorian parliamentary election croatian presidential election zoran milanovi is reelected for a second term,,,,,,,,,,,australian open tennis international winner unknown,,,
2025-01-13,accuweather releases a preliminary estimate of the total physical and economic losses caused by the ongoing wildfires in southern california of between billion a figure attributed to exceptionally high property values in and near santa monica which would surpass their estimates of the costs of the entire united states wildfire season as well as hurricane helene in,,,,,,,,,,,,,researchers discover what could be the worlds oldest threedimensional map in a cave in the paris basin of france dating back years c g atlas a nonperiodic comet reaches perihelion and is dubbed the great comet of,,,,
2025-01-14,,,,,,,,,,,,,,,february the world mens handball championship takes place in croatia denmark and norway it is won by denmark,,,
2025-01-15,,,,,,,,,,,,south korean president yoon suk yeol is arrested by the cio for his role in the martial law crisis,,,,the european space agencys gaia spacecraft ends its operation after years of mapping the milky way galaxy during which time it made three trillion observations of two billion stars,,
2025-01-16,,,,vanuatuan general election,,,,,,,,,,,,,,
2025-01-17,,,,,,bluesky moderation report throughout our trust safety team has worked to protect our growing userbase and uphold our community standards,,,,,,,,,,,,
2025-01-18,,two judges of the supreme court of iran are assassinated at the palace of justice in tehran,,,,,,,,,,,,,under womens t world cup cricket international winner unknown a ski lift collapses in astún injuring at least people,,,
2025-01-19,,,,burgenland state election,,,,,,,,,,,,tiktok capcut lemon and marvel snap are banned off of all app stores in the us due to their owner being bytedance,,gaza war a ceasefire goes into effect lasting until an israeli surprise attack on march
2025-01-20,,,,,,,,,,,,donald trump is sworn in as the th president of the united states becoming the second president in american history to serve nonconsecutive terms,,,college football playoff national championship american football domestic winner unknown,deepseek releases deepseekr a large language model based on deepseekv utilising a chainofthought stating it achieves performance comparable to openaio across math code and reasoning tasks deepseekr is opensource,,
2025-01-21,,one person is killed in an explosion at the port of barcelona people are killed after a fire breaks out in a hotel in the ski resort of kartalkaya turkey,,,,,,,,,,,,,,the stargate project a joint venture created by openai softbank oracle and mgx is formally announced by us president donald trump,,
2025-01-22,,a truck rams into vehicles in bazhong sichuan killing five people,,,,thailand becomes the th country to legalize samesex marriagecitation needed,,the second trump administration imposes an immediate freeze on scientific grants communications hiring and meetings at the national institutes of health nih by far the biggest supporter of biomedical research worldwide impacting billion worth of activities,,,,,,,,,,
2025-01-23,,,,,,humanitys last exam a benchmark for large language models is published the dataset consists of challenging questions across over a hundred subjects,,,,,,,,,south american u championship association football continental winner unknown,,,
2025-01-24,,,,,,,,,,,,,,,,a study by the university of birmingham finds that electric vehicles now have an average lifespan of years outlasting the average diesel vehicle at years and almost matching the average petrol vehicle at years,,
2025-01-26,,,,the belarusian presidential election was held the belarusian presidential election is held with incumbent alexander lukashenko independent but of the belaya rus alliance being reelected belarusian presidential election,,,,,,,,,,,,,,
2025-01-27,,,,,,,,,,,,,,,,global technology shares outside china fall sharply in response to the release of deepseeks chatbot a chinese competitor to openais chatgpt chip giant nvidia loses almost billion of its value the biggest drop for a single company in us stock market history,,
2025-01-29,,,,,,,,,,,,,,the european space agency esa announces that it has begun monitoring the asteroid yr which at the time had a in chance of impacting earth on december,,,,
2025-01-30,,,,seanad election january,,,,,,,,,balkan boycotts a series of boycotts occurred in the balkans over inflation,,,,,
2025-02-01,,,,,,,,,,,,us president donald trump imposes a tariff on imports from china,,,,,,
2025-02-02,,,,,,,,,,,,,,,pro bowl games american football domestic winner national football conference,,,
2025-02-03,openai releases chatgpt deep research an artificial intelligence system integrated into chatgpt which generates cited reports on a userspecified topic by autonomously browsing the web for to minutes,,,,,,,,,china imposes export controls and increased tariffs on certain american imports in retaliation for president trumps imposition of tariffs on chinese goods,,,,researchers in berkeley and cambridge attach copper nanoflower catalysts on perovskitebased artificial leaves for solardriven hydrocarbon synthesis devices can produce ethane and ethylene at high rates by coupling co reduction with glycerol oxidation into valueadded chemicals,,,,
2025-02-04,,,,,,,,,,the united states postal service indefinitely suspends its acceptance of parcels from china and hong kong,,,,,,,,
2025-02-05,,,,delhi legislative assembly election,,,,,,,,,,,,,,
2025-02-06,,,,,,,,,,,,,,,the supreme court of spain overturns the conviction of rafael louzan for his involvement in an anomalous construction agreement in moraña when he was president of the provincial deputation of pontevedra allowing him to retain his post as head of the royal spanish football federation,mistral ai releases le chat an ai assistant able to answer up to words per second,,
2025-02-07,,,,,,,,,,,,,,researchers develop an ai chip smaller than a grain of salt that mounts on the tip of an optical fibre and uses a diffractive neural network to decode images at light speed with very low energy this breakthrough promises advances in efficient medical imaging and quantum communication technologies,,,,
2025-02-08,,,,,,at least one person is killed while others are reported missing after a landslide hits the village of jinping in junlian county sichuan,,,,,,,,,,,,
2025-02-09,,,,liechtenstein general election liechtenstein general election was held,,,,,,,,kosovan parliamentary election,,,super bowl lix american football domestic winner philadelphia eagles,,,
2025-02-10,,a bus falls off a bridge over the las vacas river in guatemala city guatemala killing at least people and seriously injuring others,,,,,,,,,,,,,,,,
2025-02-11,,,,,the academy of interactive arts sciences hosted the dice summit and the th annual dice awards at the aria resort and casino in las vegas nevada,,,,,,,,,,,,,
2025-02-12,,,,,,,,,,,,,,,afc u asian cup association football continental winner australia,,,
2025-02-13,,,,,,,,,,,,,,,,scientists at the university of cambridge report the creation of a solarpowered reactor that pulls carbon dioxide directly from the air and converts it into sustainable fuel,,
2025-02-14,,,,,,,,,,the associated press ap is banned from the oval office and air force one indefinitely over its continued use of the term gulf of mexico instead of the official gulf of america,,,,,jeddah eprix fe formula racing international winner race maximilian günther ds penskerace oliver rowland nissan formula e team,,,
2025-02-15,,,,mahamoud ali youssouf is elected as the chairperson of the african union commission,,,,,,,,togolese senate election,,a new recordlow global sea ice extent is reported dipping below the previous lowest that occurred in early,,,,
2025-02-16,,,,,,,,,,,,,,,nba allstar game basketball domestic winner shaqs ogs,,,
2025-02-17,,,,,,,,,,,,,indonesian protests a series of ongoing nationwide protests are held following the enactment of a legislation increasing military involvement in civilian government rolescitation needed,,,,,
2025-02-19,,police discover a tunnel measuring at least meters from ceuta to morocco and believed to be used to transport drugs following a raid on a warehouse,,,mixue surpasses starbucks and mcdonaldsas the worlds largest foodservice chain by store count,,,,,croatia completes the process of joining the european economic area,,,,,icc champions trophy cricket international winner india,,,
2025-02-20,,,,,,,,,,,,,,,recopa sudamericana association football continental winner racing rubiales affair the audiencia nacional convicts former royal spanish football federation head luis rubiales for kissing womens national team player jenni hermoso without her consent at the fifa womens world cup final and orders him to pay a fine of,,,
